#x 	<E> 	error 	<M> 	error 	d<E>/dT 	error 	d<M>/dh 	error 	B(E) 	error 	B(M) 	derror
0.475	-1.65747 	0.00115923 	-0.27049 	0.0647686	4.31732 	0.074319 	272.795 	15.2027	1.01518 	0.000230804 	1.02306 	0.000761668
0.476	-1.66234 	0.00112275 	-0.405782 	0.0609845	4.32136 	0.071263 	238.174 	18.7751	1.01512 	0.000257263 	1.0216 	0.000795727
0.477	-1.66517 	0.0011285 	-0.415447 	0.0647729	4.24966 	0.0761415 	235.886 	23.0458	1.0148 	0.000241303 	1.02133 	0.000742442
0.478	-1.66943 	0.00109438 	-0.663203 	0.0486729	4.04131 	0.0670564 	130.835 	24.4909	1.01406 	0.000260439 	1.01937 	0.000590406
0.479	-1.67252 	0.00125467 	-0.274524 	0.0735548	4.13399 	0.0675627 	277.489 	16.4453	1.0143 	0.000224134 	1.01959 	0.000494874
0.48	-1.67586 	0.00115962 	0.444326 	0.0653708	3.93095 	0.075183 	230.008 	22.1043	1.01359 	0.000216268 	1.01856 	0.000904316
0.481	-1.68154 	0.00114281 	0.0387585 	0.0767705	3.89886 	0.0656706 	310.711 	3.45618	1.01339 	0.000206829 	1.01656 	0.000481176
0.482	-1.68507 	0.00117726 	0.448376 	0.0704159	3.85787 	0.0616306 	232.081 	22.7739	1.01319 	0.000227811 	1.01676 	0.000714291
0.483	-1.68796 	0.00106544 	-0.0170148 	0.0773708	3.71345 	0.0638088 	313.491 	3.18774	1.01267 	0.000214445 	1.0155 	0.000512788
0.484	-1.69233 	0.00113247 	0.293546 	0.0718291	3.64896 	0.0627885 	280.626 	16.6291	1.01237 	0.000207788 	1.0146 	0.000418791
0.485	-1.69449 	0.00112482 	0.406499 	0.0708714	3.76773 	0.0609844 	249.485 	21.78	1.01273 	0.000235579 	1.0156 	0.000604581
0.486	-1.70105 	0.00108593 	0.00672119 	0.0789518	3.53045 	0.0592628 	318.028 	3.6411	1.01188 	0.000185721 	1.01361 	0.000417233
0.487	-1.70407 	0.000960364 	0.147568 	0.0809194	3.55996 	0.059663 	310.291 	9.53093	1.0119 	0.000212842 	1.01368 	0.00050626
0.488	-1.70753 	0.000998807 	0.892719 	0.000641299	3.41149 	0.0669893 	1.20694 	0.0538998	1.01139 	0.000209319 	1.01303 	0.000442516
0.489	-1.71056 	0.000955616 	-0.894742 	0.000547647	3.3323 	0.0491914 	1.10588 	0.0495611	1.0111 	0.000168294 	1.01213 	0.000374087
0.49	-1.71519 	0.000968933 	-0.714025 	0.0476541	3.40389 	0.0596807 	119.035 	27.3737	1.01127 	0.000183511 	1.01183 	0.00040616
0.491	-1.7197 	0.00105769 	0.899199 	0.000555954	3.25877 	0.0584058 	1.01242 	0.0425554	1.01071 	0.000197456 	1.01113 	0.000374462
0.492	-1.72111 	0.00100199 	0.82754 	0.0312627	3.23255 	0.049473 	51.3527 	19.5338	1.01063 	0.000161982 	1.01066 	0.000298479
0.493	-1.72342 	0.000964799 	0.809846 	0.0340437	3.24611 	0.048765 	63.5541 	22.661	1.01066 	0.000159686 	1.01046 	0.000311714
0.494	-1.7278 	0.000883864 	0.903239 	0.000461364	3.06018 	0.0483154 	0.905509 	0.040943	1.00999 	0.00015865 	1.00988 	0.000261597
0.495	-1.73062 	0.000988079 	-0.904568 	0.000520034	3.18713 	0.0493817 	0.905605 	0.0267531	1.01039 	0.000176221 	1.01007 	0.000248868
0.496	-1.73517 	0.00094142 	0.906421 	0.000489484	3.09707 	0.0567843 	0.877093 	0.0349065	1.01003 	0.000172755 	1.00964 	0.000300348
0.497	-1.73598 	0.00098233 	-0.906655 	0.000508247	3.05635 	0.0505022 	0.89979 	0.037167	1.00988 	0.000153664 	1.00967 	0.000276984
0.498	-1.74004 	0.00103048 	0.90858 	0.000497142	3.04407 	0.0533171 	0.82239 	0.0260716	1.00979 	0.000171499 	1.00914 	0.000251169
0.499	-1.7428 	0.000956189 	-0.90936 	0.000650929	2.95389 	0.053464 	0.968269 	0.210077	1.00949 	0.000167871 	1.00932 	0.000673474
0.5	-1.7467 	0.000916081 	0.882252 	0.0194338	2.83263 	0.0521342 	21.7967 	13.1469	1.00906 	0.000149149 	1.00884 	0.00035565
