#h	fwdEuler	bwdEuler	Heun	RK4
546 	0.000369263656786467 	0.000369404783859828 	2.8035460490905e-06 	5.77574912341561e-08
562 	0.000358734412325479 	0.000358867680059438 	2.64509397518431e-06 	5.44934364299365e-08
578 	0.000348788976931136 	0.000348915024213969 	2.4997053247322e-06 	5.14984879185221e-08
595 	0.000338663802353256 	0.000339074077001733 	2.50364038345552e-06 	1.92533428755581e-07
613 	0.000329251345237758 	0.00032854952994632 	1.81362974349675e-06 	2.34372521390469e-11
630 	0.000319959919166335 	0.000320066154008369 	2.10171155479166e-06 	4.33000273414308e-08
649 	0.000310941917760266 	0.000310315896761004 	1.61660154684995e-06 	1.84685600146395e-11
668 	0.000301732902848961 	0.000301830953363558 	1.86980376071233e-06 	3.79068159084284e-08
687 	0.00029327033633364 	0.000293577926907096 	1.87467084233894e-06 	1.44360639886543e-07
707 	0.000284966820275345 	0.000285257227483182 	1.76953608677088e-06 	1.3629837458673e-07
728 	0.000276834991794761 	0.000276917393548626 	1.5726435405039e-06 	3.19256914238508e-08
749 	0.000269337183772089 	0.000268867329565881 	1.21135670028139e-06 	1.00397468116853e-11
771 	0.000261292806187807 	0.000261536937376183 	1.48658532816981e-06 	1.14584777666238e-07
794 	0.000253799211398231 	0.00025386629407409 	1.31974428030368e-06 	2.71916822391916e-08
817 	0.000246875041557626 	0.000246480221421042 	1.01701942623045e-06 	6.83941792090081e-12
841 	0.000239816153528194 	0.000239443568853526 	9.59480426221404e-07 	5.99031935166749e-12
865 	0.000233149708720015 	0.000232797532766504 	9.06689791468906e-07 	5.27333732236457e-12
891 	0.000226077098425259 	0.000226259827805775 	1.11160186255788e-06 	8.57708677415303e-08
917 	0.000219904969023466 	0.000219591638124905 	8.06268685815681e-07 	3.99347221957669e-12
944 	0.00021343261444895 	0.000213481392453918 	9.32801865305422e-07 	1.9002291296033e-08
971 	0.000207438713077268 	0.000207592541620949 	9.35302590709952e-07 	7.2207437584737e-08
1000 	0.000201469884598238 	0.000201513314316948 	8.30835015674936e-07 	1.69362202040446e-08
1029 	0.000195931629661361 	0.000195682847238032 	6.39579647687682e-07 	2.23399077015074e-12
1059 	0.000190190879376662 	0.000190320180442294 	7.85793077051622e-07 	6.06958663329493e-08
1090 	0.000184821729970697 	0.000184857439531783 	6.98407754073926e-07 	1.43912339822805e-08
1122 	0.000179546362830685 	0.000179580072828589 	6.59002477920723e-07 	1.35793647437765e-08
1154 	0.0001745637870465 	0.000174595660845656 	6.22840472308539e-07 	1.28343036198686e-08
1188 	0.000169563819397034 	0.000169594519545235 	5.87894176895531e-07 	1.2004985894265e-08
1223 	0.000164673801220205 	0.000164770722915097 	5.88596538619868e-07 	4.54983262176967e-08
1258 	0.000160122277106822 	0.000160149116794406 	5.238209122016e-07 	1.07941262594835e-08
1295 	0.000155513726981527 	0.000155600162324854 	5.24779665944664e-07 	4.05762543564947e-08
1333 	0.000151193056137755 	0.000151044866855798 	3.80316553583171e-07 	2.8155255904494e-13
