#h	fwdEuler	bwdEuler	Heun	RK4
0.00018836490894898 	4.07878710218539e-05 	4.22133674752671e-05 	4.14965371632873e-05 	4.13741852947701e-05
0.000193865263595221 	2.92237395390718e-06 	3.32840134363541e-06 	3.12096338029563e-06 	3.08633951948166e-06
0.000199526231496888 	4.88139752716802e-05 	5.04640985031632e-05 	4.96344703156993e-05 	4.94927600813319e-05
0.000205352502645715 	3.09169637392922e-05 	3.22743774626636e-05 	3.15907993799572e-05 	3.14743937128425e-05
0.000211348903983665 	1.88114331906119e-05 	1.99068520371302e-05 	1.93539516989382e-05 	1.926014250483e-05
0.000217520403401952 	5.45881830837673e-06 	6.07644634117567e-06 	5.76207971538663e-06 	5.70934806697752e-06
0.000223872113856834 	5.63437608695545e-05 	5.83323104348005e-05 	5.73323015952375e-05 	5.71614513021173e-05
0.000230409297605584 	8.47483665252361e-07 	1.11897959125198e-06 	9.76958406935881e-07 	9.53913625308722e-07
0.000237137370566165 	8.42802407772521e-05 	8.68480520211517e-05 	8.55577658155191e-05 	8.53368057223116e-05
0.000244061906804198 	9.73842632338157e-06 	1.06583060388501e-05 	1.01914029069129e-05 	1.01127728944082e-05
0.000251188643150958 	4.72875971445057e-07 	7.01666400421398e-07 	5.79807194921259e-07 	5.60451795666767e-07
0.000258523483956219 	1.47641708142909e-06 	1.8731965370717e-06 	1.66692094502729e-06 	1.63319513160914e-06
0.000266072505979881 	1.57312375284076e-05 	1.69997536786187e-05 	1.63572542182916e-05 	1.62487034144758e-05
0.000273841963426436 	6.60897833521966e-05 	6.87250044635233e-05 	6.73988413990058e-05 	6.71723152075682e-05
0.000281838293126445 	2.1696701591558e-06 	2.6900395642286e-06 	2.42049458623292e-06 	2.37622396165089e-06
0.000290068119869315 	2.91129019707466e-05 	3.09829422093506e-05 	3.00381960397377e-05 	2.98779047115734e-05
0.000298538261891796 	6.10787697037728e-05 	6.38452625872628e-05 	6.24518360395251e-05 	6.22141076499181e-05
0.000307255736526744 	5.76126318382977e-05 	6.03805360136844e-05 	5.89857887546922e-05 	5.87479956303979e-05
0.000316227766016838 	1.21076992129307e-05 	1.34404877788333e-05 	1.2762425252775e-05 	1.26484915090216e-05
0.000325461783498046 	5.24989130055763e-05 	5.53024734726702e-05 	5.38885605575097e-05 	5.36477962859623e-05
0.000334965439157827 	2.60055680041936e-05 	2.80543797834904e-05 	2.70169859540026e-05 	2.68414611842533e-05
