#h	fwdEuler	bwdEuler	Heun	RK4
1.83020610631105e-05 	9.4256982689077e-06 	9.42569270837656e-06 	9.42569548860145e-06 	9.42571445989244e-06
1.8836490894898e-05 	9.34376460356357e-06 	9.34376042404875e-06 	9.34376251369404e-06 	9.34378203893575e-06
1.9386526359522e-05 	9.25943843179986e-06 	9.25943576499358e-06 	9.25943709832307e-06 	9.25945719382039e-06
1.99526231496888e-05 	9.17264989153341e-06 	9.1726488784604e-06 	9.17264938495294e-06 	9.1726700671108e-06
2.05352502645714e-05 	9.08332708010222e-06 	9.0833278717429e-06 	9.08332747583187e-06 	9.08334876192907e-06
2.11348903983665e-05 	8.99139599549162e-06 	8.99139875294045e-06 	8.99139737433256e-06 	8.99141928195679e-06
2.17520403401952e-05 	8.89678047472252e-06 	8.89678537076758e-06 	8.8967829228874e-06 	8.89680547014629e-06
2.23872113856834e-05 	8.79940213082142e-06 	8.79940935002575e-06 	8.79940574049723e-06 	8.79942894619752e-06
2.30409297605584e-05 	8.69918028799666e-06 	8.69919002706649e-06 	8.69918515762501e-06 	8.69920904098674e-06
2.37137370566165e-05 	8.59603191458746e-06 	8.59604438383752e-06 	8.59603814943508e-06 	8.59606273010482e-06
2.44061906804198e-05 	8.48987155414005e-06 	8.48988697858505e-06 	8.48987926656151e-06 	8.48990456495306e-06
2.51188643150958e-05 	8.38061125529206e-06 	8.38062987466213e-06 	8.3806205651068e-06 	8.44244092928333e-06
2.58523483956218e-05 	8.26816049817245e-06 	8.268182568097e-06 	8.26817153339689e-06 	8.32999934828673e-06
2.66072505979881e-05 	8.15242611953295e-06 	8.15245191334557e-06 	8.15243901664097e-06 	8.21427450005119e-06
2.73841963426436e-05 	8.03331223612499e-06 	8.03334204464368e-06 	8.03332714080864e-06 	8.0951705164349e-06
2.81838293126445e-05 	7.91072016441861e-06 	7.91075429855527e-06 	7.91073723183759e-06 	7.97258873037654e-06
2.90068119869316e-05 	7.78454833971874e-06 	7.78458713007471e-06 	7.78456773553483e-06 	7.84642759390035e-06
2.98538261891796e-05 	7.65469223119476e-06 	7.65473603088691e-06 	7.654714131663e-06 	7.71658259409977e-06
3.07255736526744e-05 	7.52104425575351e-06 	7.52109344065279e-06 	7.5210688489127e-06 	7.58294616678071e-06
3.16227766016837e-05 	7.38349368897746e-06 	7.38354865961606e-06 	7.38352117523825e-06 	7.44540760692158e-06
3.25461783498046e-05 	7.24192657323559e-06 	7.24198775626234e-06 	7.24195716584655e-06 	7.30385297741948e-06
3.34965439157828e-05 	7.09622562298471e-06 	7.09629347305241e-06 	7.09625954911724e-06 	7.15816501465536e-06
3.44746606573149e-05 	6.94627012826132e-06 	6.9463451288754e-06 	6.94630762984841e-06 	7.00822303116811e-06
3.54813389233575e-05 	6.79193585397017e-06 	6.79201852040822e-06 	6.79197718862974e-06 	6.85390281572345e-06
3.65174127254838e-05 	6.63309493756123e-06 	6.63318581809205e-06 	6.63314037951176e-06 	6.69507653095035e-06
3.75837404288444e-05 	6.46961578261317e-06 	6.46971546057212e-06 	6.4696656235828e-06 	6.53161260685297e-06
3.86812054633052e-05 	6.30136295010185e-06 	6.30147204661475e-06 	6.30141750045179e-06 	6.36337563192093e-06
3.98107170553496e-05 	6.12819704627882e-06 	6.12831622190088e-06 	6.12825663642352e-06 	6.19022624142436e-06
4.09732109813541e-05 	5.94997460670461e-06 	5.95010456433453e-06 	5.95003958816927e-06 	6.01202100165719e-06
4.21696503428582e-05 	5.76654797801116e-06 	5.76668946516759e-06 	5.76661872442759e-06 	5.82861229129392e-06
4.34010263644743e-05 	5.57776519501875e-06 	5.57791900617398e-06 	5.57784210398749e-06 	5.63984817910788e-06
4.46683592150963e-05 	5.38346985517749e-06 	5.38363683632367e-06 	5.38355334945279e-06 	5.44557229787187e-06
4.59726988530872e-05 	5.18350098906918e-06 	5.18368203845808e-06 	5.18359151787035e-06 	5.24562371576026e-06
4.7315125896148e-05 	4.9776929266111e-06 	4.97788899975562e-06 	4.97779096788587e-06 	5.03983680183396e-06
4.86967525165862e-05 	4.76587516021281e-06 	4.76608727286149e-06 	4.76598122176179e-06 	4.82804109008201e-06
5.01187233627272e-05 	4.54787220346563e-06 	4.54810143506083e-06 	4.61000918869496e-06 	4.67208163439656e-06
5.15822165072306e-05 	4.32908203214109e-06 	4.32866835209708e-06 	4.38828689956994e-06 	4.44892778687056e-06
5.30884444230987e-05 	4.11357339924589e-06 	4.11247834874127e-06 	4.16999793463753e-06 	4.22774165424758e-06
5.46386549881853e-05 	3.90193085208605e-06 	3.9004648767944e-06 	3.95539645862439e-06 	4.01031418545471e-06
5.62341325190349e-05 	3.69515976616502e-06 	3.69294068515477e-06 	3.74504585710633e-06 	3.79752345502255e-06
5.7876198834912e-05 	3.49328673384367e-06 	3.49027094381562e-06 	3.53952832892806e-06 	3.58945101915403e-06
5.9566214352901e-05 	3.29691620448383e-06 	3.29305813801578e-06 	3.33944542827007e-06 	3.38669593167768e-06
6.13055792149819e-05 	3.10667265363491e-06 	3.10192469751313e-06 	3.14555399574894e-06 	3.18987710911991e-06
6.30957344480193e-05 	2.92320115653324e-06 	2.91751356623681e-06 	2.95837862552927e-06 	2.99963389858951e-06
6.49381631576211e-05 	2.74716797485611e-06 	2.74048878729005e-06 	2.77847353485081e-06 	2.81662665958955e-06
6.68343917568614e-05 	2.57926115831095e-06 	2.57153609921799e-06 	2.60652220496205e-06 	2.64153736015762e-06
6.87859912308808e-05 	2.42019116050569e-06 	2.4113635490443e-06 	2.44323039539302e-06 	2.47507018675203e-06
7.07945784384137e-05 	2.27069147005232e-06 	2.26070211895354e-06 	2.28934370979076e-06 	2.31795217029671e-06
7.28618174513227e-05 	2.13151925645724e-06 	2.12030636809136e-06 	2.14589257023954e-06 	2.17093382513759e-06
7.49894209332455e-05 	2.00345603156359e-06 	1.99110133243626e-06 	2.01345479500347e-06 	2.03478980493931e-06
7.71791515585013e-05 	1.89868324383957e-06 	1.88668695916437e-06 	1.90210723741229e-06 	1.92880707125449e-06
7.94328234724282e-05 	1.82819504126442e-06 	1.81636312408243e-06 	1.82495158557117e-06 	1.83758404150616e-06
8.17523037943649e-05 	1.79610679860077e-06 	1.78469138393882e-06 	1.78558790313874e-06 	1.78368562815873e-06
8.41395141645194e-05 	1.80654150955965e-06 	1.79572380079898e-06 	1.78871714721162e-06 	1.77167941145474e-06
8.65964323360065e-05 	1.86442327614289e-06 	1.8547679157483e-06 	1.83968175457871e-06 	1.80739411922239e-06
8.91250938133745e-05 	1.97565691846851e-06 	1.96704812995807e-06 	1.94401161669126e-06 	1.89566220483096e-06
9.17275935389779e-05 	2.14732255957441e-06 	2.13970990939311e-06 	2.10799803293939e-06 	2.04291144539079e-06
9.44060876285921e-05 	2.38593222102064e-06 	2.38011223091473e-06 	2.33888502987664e-06 	2.25674579256713e-06
9.71627951577105e-05 	2.69984346750471e-06 	2.69625562957257e-06 	2.64602554448456e-06 	2.54610971848993e-06
9.99999999999999e-05 	3.09996598377737e-06 	3.09822557990795e-06 	3.03801803830109e-06 	2.91959152168149e-06
0.000102920052719443 	8.75293724461546e-06 	8.7522575459166e-06 	8.87338421963191e-06 	9.11876521483147e-06
0.000105925372517729 	8.3196938841765e-06 	8.31667903689488e-06 	8.43290461062229e-06 	8.66743954096594e-06
