# nm = 1000 nc = 10 len = 200 npart = 2 beta = 0.3
#part 	obs1 	obs2
1	37.9244	63.2716
0	55.8774	64.8577
1	38.2959	63.5724
0	54.6974	64.7943
1	39.157	63.2666
0	53.3008	64.8085
1	38.2737	63.3122
0	53.4031	64.8613
1	38.092	63.2637
0	52.6636	64.745
1	38.4235	63.2547
0	50.9344	64.778
1	38.683	63.2581
0	48.986	64.7309
1	39.0516	63.3382
0	48.4768	64.7917
1	39.1911	63.2556
0	47.2679	64.7616
1	39.2897	63.3472
0	46.416	64.762
1	39.0683	63.3593
0	47.673	64.6362
1	39.4386	63.3252
0	47.4009	64.7602
1	38.5358	63.2657
0	46.4685	64.7782
1	38.839	63.3174
0	48.0628	64.8314
1	38.6271	63.4429
0	47.8694	64.7139
1	38.6499	63.4105
0	49.5525	64.7577
1	38.8032	63.3762
0	48.926	64.8408
1	39.1632	63.2976
0	48.5398	64.7727
1	40.0391	63.3802
0	48.885	64.7971
1	39.3532	63.3765
0	48.6104	64.8328
1	37.9147	63.3016
0	49.7295	64.7887
1	37.746	63.3194
0	47.3104	64.9053
1	36.7511	63.4026
0	48.0623	64.7623
1	35.8603	63.3112
0	48.3602	64.9086
1	36.0289	63.4107
0	48.0294	64.7817
1	35.8981	63.2556
0	47.8078	64.7626
1	36.7442	63.2485
0	48.4694	64.8618
1	36.0903	63.2849
0	48.2805	64.782
1	36.0244	63.2917
0	47.1849	64.7222
1	36.995	63.3247
0	46.4588	64.8221
1	36.2333	63.3027
0	45.3309	64.7084
1	35.7591	63.4402
0	43.9073	64.7869
1	35.9107	63.498
0	45.7661	64.803
1	36.09	63.2762
0	46.3609	64.7425
1	36.1233	63.2429
0	47.2741	64.7324
1	36.0472	63.2703
0	47.577	64.8528
1	35.4863	63.3453
0	47.4807	64.7004
1	35.2695	63.3305
0	48.0319	64.8164
1	34.9293	63.2501
0	46.7621	64.7397
1	34.8449	63.2579
0	46.3095	64.8249
1	34.7098	63.1713
0	45.2751	64.803
1	34.3608	63.1619
0	44.7028	64.7748
1	34.4854	63.3255
0	44.5538	64.8198
1	34.8543	63.2447
0	44.8367	64.8821
1	35.6016	63.3627
0	44.4593	64.9902
1	35.6972	63.3742
0	46.4195	64.7869
1	35.982	63.241
0	45.0088	64.7117
1	35.6137	63.2696
0	45.1293	64.8369
1	35.4177	63.3288
0	44.6	64.7285
1	34.6054	63.3933
0	44.962	64.7487
1	34.0971	63.2339
0	46.4458	64.8707
1	34.0236	63.1333
0	46.3148	64.8184
1	34.1075	63.0922
0	45.9669	64.8133
1	34.6738	63.2275
0	45.0707	64.8299
1	35.2609	63.316
0	46.1384	64.8083
1	35.5733	63.2652
0	46.1013	64.7714
1	37.3939	63.2486
0	46.7758	64.7952
1	38.0407	63.236
0	46.8908	64.7678
1	38.0382	63.4028
0	45.3651	64.7018
1	37.3429	63.3102
0	46.6029	64.7281
1	36.8488	63.1953
0	45.6173	64.7656
1	36.8001	63.2316
0	46.7273	64.847
1	35.9874	63.2372
0	46.8167	64.7777
1	36.0973	63.223
0	47.1157	64.7668
1	37.5098	63.3925
0	46.6178	64.7924
1	37.9439	63.3413
0	48.4283	64.717
1	38.3991	63.3033
0	47.995	64.7019
1	38.2992	63.3208
0	48.471	64.8489
1	39.5562	63.2922
0	48.4301	64.9834
1	40.126	63.3515
0	48.1624	64.9137
1	40.1566	63.3601
0	48.4823	65.0238
1	39.8141	63.362
0	47.1052	64.7506
1	40.1842	63.4275
0	46.4181	64.8624
1	40.6543	63.217
