#x 	<E> 	error 	<M> 	error 	d<E>/dT 	error 	d<M>/dh 	error 	B(E) 	error 	B(M) 	derror
0.456	-1.56518 	0.00259718 	0.0277441 	0.0382385	5.4644 	0.0969595 	69.0072 	0.391509	1.07915 	0.00138954 	1.0998 	0.00253315
0.457	-1.57553 	0.00274412 	0.0626465 	0.0336263	5.22698 	0.0760849 	69.6806 	0.526321	1.07476 	0.00112784 	1.09301 	0.00216452
0.458	-1.57734 	0.002571 	0.00711182 	0.0403722	5.19511 	0.0824899 	70.1565 	0.297497	1.07451 	0.00118843 	1.0921 	0.00231193
0.459	-1.58157 	0.00251185 	-0.00888916 	0.0403091	5.30231 	0.0839999 	70.5707 	0.294614	1.07544 	0.00112551 	1.09092 	0.00224001
0.46	-1.59036 	0.00262055 	-0.026062 	0.0419823	5.07638 	0.0833128 	71.1726 	0.380506	1.07157 	0.00122591 	1.08611 	0.00219476
0.461	-1.5911 	0.00261957 	0.00203369 	0.037623	5.0749 	0.079032 	71.417 	0.332691	1.07141 	0.00108897 	1.08412 	0.00195118
0.462	-1.5961 	0.00247941 	-0.0115796 	0.0439113	4.96034 	0.0868396 	71.7191 	0.319393	1.06922 	0.00114481 	1.08323 	0.0021479
0.463	-1.60381 	0.00275839 	0.0125488 	0.0436553	4.91533 	0.0819946 	72.4532 	0.369206	1.06782 	0.0011586 	1.07723 	0.00214788
0.464	-1.60824 	0.00249949 	-0.0523071 	0.0440249	4.89522 	0.0842812 	72.4473 	0.511694	1.06698 	0.00111527 	1.07916 	0.00182462
0.465	-1.6135 	0.00234407 	0.0273706 	0.0416476	4.97822 	0.0798316 	73.0477 	0.301284	1.0675 	0.00109293 	1.07754 	0.00203867
0.466	-1.61587 	0.00222378 	0.0174414 	0.0442923	4.75623 	0.0768837 	73.4493 	0.388965	1.06468 	0.00108256 	1.07295 	0.00190813
0.467	-1.62514 	0.00224878 	0.0779468 	0.0480038	4.5636 	0.0663976 	73.7587 	0.707268	1.06176 	0.000875366 	1.06615 	0.00180601
0.468	-1.62892 	0.00200098 	0.0242896 	0.0488097	4.60493 	0.0807658 	74.467 	0.540479	1.06191 	0.00100309 	1.06701 	0.00165958
0.469	-1.63063 	0.00218115 	0.166726 	0.0457854	4.48508 	0.0711289 	71.859 	1.57572	1.06031 	0.000966298 	1.06504 	0.00176001
0.47	-1.63768 	0.00231066 	-0.0157422 	0.0476298	4.46626 	0.0709656 	75.1805 	0.414742	1.05921 	0.000943353 	1.06411 	0.00176549
0.471	-1.64166 	0.00221666 	0.0308545 	0.0476514	4.45213 	0.0763808 	75.3288 	0.457255	1.0589 	0.0010321 	1.06403 	0.00181221
0.472	-1.64256 	0.00230241 	0.0402222 	0.0500729	4.44556 	0.0796522 	75.5532 	0.629436	1.05861 	0.00102719 	1.06132 	0.00162303
