#part 	tau 	tpccorr
0	40	-0.174335
0	41	-0.175474
0	42	-0.176265
0	43	-0.178065
0	44	-0.177171
0	45	-0.176211
0	46	-0.174074
0	47	-0.173037
0	48	-0.167754
0	49	-0.163437
0	50	-0.15858
0	51	-0.156868
0	52	-0.156155
0	53	-0.156182
0	54	-0.156276
0	55	-0.15861
0	56	-0.158788
0	57	-0.158355
0	58	-0.157602
0	59	-0.158316
0	60	-0.158917
0	61	-0.160653
0	62	-0.164157
0	63	-0.166704
0	0	0.552122
0	1	0.539673
0	2	0.521634
0	3	0.500643
0	4	0.477277
0	5	0.4522
0	6	0.429422
0	7	0.407342
0	8	0.385671
0	9	0.361584
0	10	0.333789
0	11	0.306168
0	12	0.274643
0	13	0.24159
0	14	0.210424
0	15	0.183051
0	16	0.158582
0	17	0.135325
0	18	0.110127
0	19	0.0845542
0	20	0.0609421
0	21	0.0384328
0	22	0.016432
0	23	-0.00333467
0	24	-0.0203773
0	25	-0.035051
0	26	-0.04726
0	27	-0.05672
0	28	-0.0644047
0	29	-0.0724856
0	30	-0.0802736
0	31	-0.0869549
0	32	-0.0906476
0	33	-0.0953571
0	34	-0.099042
0	35	-0.10548
0	36	-0.113193
0	37	-0.119494
0	38	-0.126196
0	39	-0.132267
0	40	-0.136733
0	41	-0.139109
0	42	-0.138674
0	43	-0.136012
0	44	-0.135169
0	45	-0.137277
0	46	-0.141639
0	47	-0.149348
0	48	-0.159791
0	49	-0.170853
0	50	-0.183003
0	51	-0.196357
0	52	-0.211888
0	53	-0.224652
0	54	-0.236241
0	55	-0.246311
0	56	-0.258251
0	57	-0.269182
0	58	-0.278544
0	59	-0.284332
0	60	-0.289165
0	61	-0.292505
0	62	-0.294946
0	63	-0.298018
0	0	0.432128
0	1	0.421039
0	2	0.408444
0	3	0.394528
0	4	0.378262
0	5	0.360082
0	6	0.339395
0	7	0.318818
0	8	0.293454
0	9	0.269823
0	10	0.246317
0	11	0.222754
0	12	0.201094
0	13	0.179841
0	14	0.157709
0	15	0.137204
0	16	0.117988
0	17	0.098254
0	18	0.0771129
0	19	0.0594206
0	20	0.0427219
0	21	0.0247157
0	22	0.0102032
0	23	-0.00351823
0	24	-0.0149627
0	25	-0.0248784
0	26	-0.0341963
0	27	-0.0422765
0	28	-0.0510637
0	29	-0.0570557
0	30	-0.0639138
0	31	-0.0703315
0	32	-0.0738935
0	33	-0.0778373
0	34	-0.0829128
0	35	-0.0883579
0	36	-0.0938093
0	37	-0.0978584
0	38	-0.101581
0	39	-0.103251
0	40	-0.102786
0	41	-0.102394
0	42	-0.103784
0	43	-0.108028
0	44	-0.110835
0	45	-0.113899
0	46	-0.1166
0	47	-0.122155
0	48	-0.126029
0	49	-0.128704
0	50	-0.135452
0	51	-0.142482
0	52	-0.147656
0	53	-0.154809
0	54	-0.164414
