# nm = 1000 nc = 100 len = 128 npart = 1 beta = 3
#part 	obs1 	obs2
0	0.38308	0.0136831
0	0.540592	0.01493
0	0.466709	0.00958987
0	0.432009	0.0105042
0	0.47221	0.01245
0	0.413135	0.00927463
0	0.403975	0.0112207
0	0.408599	0.0116746
0	0.340449	0.0117191
0	0.509011	0.00991746
0	0.475214	0.0101145
0	0.390473	0.0116699
0	0.535303	0.0116507
0	0.553631	0.0109698
0	0.428285	0.0112699
0	0.437455	0.0119595
0	0.424446	0.0128309
0	0.424296	0.011332
0	0.465827	0.0119641
0	0.551359	0.0108235
0	0.435341	0.00878514
0	0.521196	0.0127919
0	0.530432	0.00999385
0	0.668731	0.0132584
0	0.642454	0.0139793
0	0.602007	0.0121713
0	0.634405	0.0101626
0	0.649997	0.013522
0	0.621971	0.0115459
0	0.600805	0.011073
0	0.664273	0.0109662
0	0.615277	0.0102672
0	0.532563	0.0102029
0	0.502628	0.0128285
0	0.558168	0.0090128
0	0.652203	0.0120052
0	0.537004	0.0104879
0	0.514548	0.0133058
0	0.63526	0.0135543
0	0.688124	0.0128225
0	0.846522	0.0110723
0	0.882516	0.014574
0	0.870169	0.0104292
0	0.836746	0.0129014
0	1.10324	0.0109547
0	0.956675	0.0137208
0	1.00948	0.0119434
0	0.857538	0.0111577
0	0.990113	0.0144303
0	1.05376	0.0104327
0	1.18742	0.014567
0	1.27472	0.0124856
0	1.3572	0.0114549
0	1.34749	0.0124716
0	1.26878	0.0128099
0	1.48383	0.00975173
0	1.90714	0.0132621
0	1.84964	0.0123964
0	1.82985	0.0114612
0	1.66123	0.0121634
0	1.72551	0.0127285
0	1.81741	0.0111683
0	1.82011	0.0121702
0	1.62333	0.00936325
0	1.74406	0.0124784
0	1.79122	0.010493
0	1.89842	0.0104037
0	1.90989	0.0095633
0	1.827	0.0115048
0	1.63826	0.0117476
0	1.50204	0.0142092
0	1.38073	0.0124959
0	1.4186	0.0127614
0	1.44694	0.0110809
0	1.54162	0.0101337
0	1.47298	0.0107236
0	1.55651	0.0146949
0	1.41091	0.01071
0	1.47017	0.0142452
0	1.73899	0.012654
0	1.77232	0.00970018
0	1.97723	0.0111553
0	1.93543	0.00981286
0	1.58015	0.0116129
0	1.52905	0.0118601
0	1.52658	0.010237
0	1.5596	0.0128906
0	1.4894	0.011399
0	1.30656	0.0106374
0	1.0965	0.00998023
0	1.18443	0.00947752
0	1.16185	0.010236
0	1.14709	0.00953605
0	1.18578	0.0121399
0	1.2727	0.0142253
0	1.61069	0.011235
0	1.47537	0.0113425
0	1.6972	0.0109508
0	1.46516	0.0109359
0	1.32576	0.0112717
0	1.30307	0.0108332
0	1.28999	0.0108992
0	1.01519	0.0100903
0	1.09494	0.011746
0	0.965035	0.0125642
0	0.804889	0.0130652
0	0.652029	0.0131662
0	0.755179	0.010438
0	0.651251	0.0119974
0	0.742446	0.0095663
