#x 	<E> 	error 	<|M|> 	error 	d<E>/dT 	error 	d<|M|>/dh 	error 	B(E) 	error 	B(|M|) 	derror
0.453	-1.53587 	0.00113747 	0.7759 	0.00232979	6.82662 	0.326863 	10.8454 	1.20235	1.0018 	9.12102e-05 	1.01055 	0.00108859
0.454	-1.54282 	0.00117317 	0.783858 	0.00148655	7.08118 	0.254003 	8.94094 	0.820032	1.00186 	6.60126e-05 	1.00865 	0.000761887
0.455	-1.55039 	0.00126631 	0.787765 	0.00267063	6.8375 	0.333284 	11.3144 	2.41994	1.00177 	9.41395e-05 	1.01026 	0.0021805
0.456	-1.55695 	0.00101724 	0.796429 	0.00134142	6.76491 	0.225332 	8.54888 	0.812116	1.00173 	6.07882e-05 	1.00789 	0.000753065
0.457	-1.56361 	0.00113903 	0.801804 	0.00121857	6.17816 	0.199123 	6.65421 	0.406915	1.00158 	4.769e-05 	1.00624 	0.000351059
0.458	-1.56944 	0.000838118 	0.80616 	0.00123839	6.09934 	0.287299 	6.11387 	0.416495	1.00154 	7.08795e-05 	1.00569 	0.000382297
0.459	-1.57436 	0.00104208 	0.808584 	0.00111268	6.45367 	0.218664 	6.97567 	0.523312	1.00162 	5.96516e-05 	1.00637 	0.000449096
0.46	-1.58219 	0.00079154 	0.816367 	0.000952298	5.47415 	0.205509 	4.86264 	0.340025	1.00136 	5.49065e-05 	1.00441 	0.000297047
0.461	-1.58845 	0.000969249 	0.820988 	0.000773515	6.1291 	0.277322 	5.05923 	0.356391	1.00152 	6.58062e-05 	1.00456 	0.000317215
0.462	-1.59298 	0.000935872 	0.820916 	0.00218488	5.87255 	0.231754 	8.20253 	2.45913	1.00144 	5.68633e-05 	1.00666 	0.00188305
0.463	-1.59921 	0.000944403 	0.828971 	0.000799766	5.19348 	0.258269 	4.10274 	0.30668	1.00126 	6.43457e-05 	1.0036 	0.000248002
0.464	-1.60317 	0.000876743 	0.829579 	0.0013193	5.6733 	0.225846 	4.81332 	0.502455	1.00138 	5.13991e-05 	1.00423 	0.000444929
0.465	-1.6103 	0.000760358 	0.834833 	0.000865091	5.2759 	0.230298 	4.3447 	0.275725	1.00127 	5.2206e-05 	1.00378 	0.000265404
0.466	-1.61576 	0.000655916 	0.839597 	0.000625995	5.08399 	0.214647 	3.63551 	0.242325	1.00121 	4.99581e-05 	1.00313 	0.000200131
0.467	-1.62067 	0.000961343 	0.842335 	0.000919589	5.23094 	0.306229 	3.75869 	0.332497	1.00124 	6.84515e-05 	1.00321 	0.000255965
0.468	-1.62512 	0.00105529 	0.846699 	0.000810384	5.23727 	0.190899 	3.19502 	0.265623	1.00124 	4.56269e-05 	1.00271 	0.000212406
0.469	-1.62958 	0.000968809 	0.84842 	0.00076971	4.96927 	0.181176 	2.95853 	0.117534	1.00117 	3.93688e-05 	1.00252 	0.000112847
0.47	-1.63535 	0.00102308 	0.852172 	0.0006986	4.55137 	0.217651 	2.74555 	0.204718	1.00106 	4.94694e-05 	1.00231 	0.000160925
0.471	-1.63946 	0.000669557 	0.854677 	0.000539611	4.86793 	0.213472 	2.78341 	0.168283	1.00113 	4.90842e-05 	1.00234 	0.000138086
0.472	-1.64195 	0.000929088 	0.857012 	0.000675681	4.99809 	0.166414 	2.64587 	0.117746	1.00115 	3.58114e-05 	1.0022 	0.000101011
0.473	-1.64927 	0.00065236 	0.861258 	0.000556357	4.10684 	0.191656 	2.27834 	0.132718	1.00094 	4.43968e-05 	1.00189 	0.000103937
0.474	-1.65206 	0.000858626 	0.862403 	0.000576679	4.87358 	0.193214 	2.35119 	0.130836	1.00111 	4.36639e-05 	1.00195 	0.000110933
0.475	-1.65677 	0.000873508 	0.865423 	0.00056902	4.10277 	0.17033 	1.88198 	0.109049	1.00093 	3.84038e-05 	1.00156 	8.94839e-05
0.476	-1.66157 	0.000749689 	0.868523 	0.000571135	4.51962 	0.188944 	2.03844 	0.0892881	1.00102 	4.13296e-05 	1.00167 	7.00357e-05
0.477	-1.66517 	0.000780849 	0.870807 	0.000519069	3.86307 	0.187851 	1.84096 	0.124468	1.00087 	4.4488e-05 	1.00149 	9.99521e-05
0.478	-1.66781 	0.000717608 	0.871949 	0.000499276	4.08132 	0.191701 	1.75726 	0.0905882	1.00091 	3.98475e-05 	1.00143 	6.88954e-05
0.479	-1.67337 	0.000681458 	0.875095 	0.000556931	4.06838 	0.115276 	1.62335 	0.0584798	1.00091 	2.6914e-05 	1.00131 	4.11445e-05
0.48	-1.67872 	0.000716864 	0.877977 	0.000484756	3.90794 	0.174434 	1.64188 	0.0752392	1.00086 	3.45928e-05 	1.00131 	5.8603e-05
0.481	-1.68238 	0.000680624 	0.88002 	0.00047964	3.99022 	0.174718 	1.65151 	0.108289	1.00088 	3.47552e-05 	1.00131 	8.29493e-05
0.482	-1.68504 	0.000620618 	0.881573 	0.000390664	3.64646 	0.125078 	1.4891 	0.0772683	1.0008 	2.89449e-05 	1.00118 	6.35649e-05
0.483	-1.68931 	0.000884714 	0.883796 	0.000545042	3.82601 	0.130409 	1.41052 	0.0840768	1.00084 	2.66853e-05 	1.00112 	5.91448e-05
0.484	-1.69442 	0.000731199 	0.886439 	0.00044492	4.13459 	0.195571 	1.47601 	0.0597864	1.0009 	4.23026e-05 	1.00116 	4.96569e-05
0.485	-1.6958 	0.000840626 	0.887013 	0.000470741	3.5983 	0.122073 	1.31191 	0.0539354	1.00078 	2.50363e-05 	1.00103 	4.30236e-05
0.486	-1.70066 	0.000831998 	0.88962 	0.000417706	3.53533 	0.155178 	1.24065 	0.0440183	1.00076 	3.42095e-05 	1.00097 	3.52801e-05
0.487	-1.7043 	0.000491922 	0.89153 	0.000269774	3.37721 	0.150528 	1.18533 	0.0683154	1.00072 	3.47355e-05 	1.00092 	4.98068e-05
0.488	-1.70703 	0.000994129 	0.892745 	0.000527576	3.49475 	0.110721 	1.18284 	0.064225	1.00075 	2.46679e-05 	1.00092 	4.97017e-05
0.489	-1.7113 	0.000662012 	0.895162 	0.000343712	3.54288 	0.155527 	1.17601 	0.0546434	1.00076 	3.01127e-05 	1.00091 	4.80322e-05
0.49	-1.71357 	0.000671316 	0.89596 	0.000314631	3.35203 	0.126232 	1.09476 	0.0481562	1.00071 	2.37958e-05 	1.00085 	3.59139e-05
0.491	-1.71797 	0.000664594 	0.898332 	0.000360605	3.41493 	0.177314 	0.977826 	0.0406189	1.00072 	3.59743e-05 	1.00075 	3.39652e-05
0.492	-1.72042 	0.000713362 	0.899521 	0.000453406	3.37427 	0.120918 	1.03997 	0.0607568	1.00071 	2.56492e-05 	1.0008 	4.36213e-05
0.493	-1.72516 	0.000743591 	0.902128 	0.000419551	3.34394 	0.116191 	1.00645 	0.0493237	1.0007 	2.62466e-05 	1.00077 	3.43909e-05
0.494	-1.72765 	0.000569922 	0.902708 	0.000326134	3.41967 	0.131735 	1.07773 	0.0533764	1.00071 	2.82297e-05 	1.00082 	4.01969e-05
0.495	-1.72931 	0.000903845 	0.903749 	0.00043275	3.08991 	0.0954837 	0.915867 	0.0498206	1.00064 	2.24654e-05 	1.0007 	4.05728e-05
0.496	-1.7327 	0.000580676 	0.905357 	0.000389651	2.91383 	0.136713 	0.799987 	0.0434117	1.00061 	2.88696e-05 	1.00061 	3.40332e-05
0.497	-1.73763 	0.000659132 	0.907725 	0.000403068	2.95436 	0.125324 	0.845767 	0.0418116	1.00061 	2.7148e-05 	1.00064 	3.10808e-05
0.498	-1.73963 	0.000870488 	0.908678 	0.000399117	2.92338 	0.10974 	0.774561 	0.0293314	1.0006 	2.31307e-05 	1.00058 	2.20644e-05
0.499	-1.74236 	0.000665073 	0.909821 	0.000348954	2.96426 	0.102315 	0.782719 	0.0360465	1.00061 	2.08171e-05 	1.00059 	2.59405e-05
0.5	-1.74586 	0.00072647 	0.911298 	0.000352063	3.02704 	0.118884 	0.823935 	0.0400079	1.00062 	2.54248e-05 	1.00062 	2.98572e-05
